SystemButton,All,SE,Data/Sound/Se/All/Button.mp3,0.5,False,2
SystemSelect,All,SE,Data/Sound/Se/All/Select.mp3,0.4,False,2
TitleBgm,Title,BGM,Data/Sound/Bgm/TitleBgm.mp3,0.5,True,1
BatleBgm,Game,BGM,Data/Sound/Bgm/BattleBgm.mp3,0.4,True,1
ObjBreak,Game,SE,Data/Sound/Se/Game/ObjBreak.mp3,0.6,False,10
PlayerDamage,Game,SE,Data/Sound/Se/Game/Player/îÌÉ_ÉÅ.mp3,0.8,False,5
PlayerEvasion,Game,SE,Data/Sound/Se/Game/Player/Evasion.mp3,0.8,False,3
PlayerPunch,Game,SE,Data/Sound/Se/Game/Player/Punch.mp3,0.7,False,5
PlayerRun,Game,SE,Data/Sound/Se/Game/Player/Run.mp3,0.4,True,1
RankIn,Clear,SE,Data/Sound/Se/Clear/RankIn.mp3,1,False,1
ScoreAdd,Clear,SE,Data/Sound/Se/Clear/ScoreAdd.mp3,1,True,1
OverBgm,Over,BGM,Data/Sound/Bgm/OverBgm.mp3,0.4,False,1
