ModelLocalRot,0,180,0
ModelSize,304.004,387.109,205.034
ModelCenterDiff,0,190.9405,0
ModelScale,2
HpMax,200
InitPos,1000,300,1000
LifeMax,2
PunchDamageInvincibleTime,20
LifeLostInvincibleTime,80
ThrowingDamageInvincibleTime,60
StoneAttackLotteryRate,0.3
WallAttackLotteryRate,0.1
FallAttackLotteryRate,0.3
PsychoAttackLotteryRate,0.3
AttackLotteryWorkValue,10000
StoneAttackPower,10
FallAttackPower,10
PsychoAttackPower,10
StoneAttackInterval,150
WallAttackInterval,150
FallAttackInterval,150
PsychoAttackInterval,200
StanRecoveryRate,0.2
StanTime,500
BigDamageSlowTime,20
BigDamageTime,0.4
DeathSlowTime,20
DeathHitStopTime,40
DeathScreenShakeTime,100
PreviewPos,10,10
HpBarPos,0,0
HpBarColor,0xeeee00,0x0000ff
HpBarStanTextPos,60,15
HpBarStanTextColor,0xff0000
HpBarStanTextBlinkInterval,15
AttackAnimeSpeed,1
DamageAnimeSpeed,1
DeathAnimeSpeed,1
IdleAnimeSpeed,1
JumpAnimeSpeed,1
PunchAnimeSpeed,1
RunAnimeSpeed,1
SlapAnimeSpeed,1
StanAnimeSpeed,0.5
WalkAnimeSpeed,1
